2007,OTHER,iloveopensource,https://github.com/codio/iloveopensource/commit/4be7751186cd47de7cf1207e7b318ac995d00a6f,a0e6524d1fa32206a6a1b62844ca855d1f49f31c,4be7751186cd47de7cf1207e7b318ac995d00a6f,'\'ClassNA\'','\'MethodNA\'',cluster49
2139,OTHER,Facebook-Messenger-Desktop,https://github.com/Aluxian/Facebook-Messenger-Desktop/commit/b380f88fe97a3e742f842036b4d23cdb155ecfc5,609351cb5a15ef1fdc4b9ac58ecbf229726f4751,b380f88fe97a3e742f842036b4d23cdb155ecfc5,'\'ClassNA\'','\'MethodNA\'',cluster49
2946,OTHER,huayra-stopmotion,https://github.com/HuayraLinux/huayra-stopmotion/commit/4e0d516ac8d18f66c97da4d4eb7eb829403b418b,e1480d2bb19877e6a4e1f9661cb46d4b5a36aa8c,4e0d516ac8d18f66c97da4d4eb7eb829403b418b,'\'ClassNA\'','\'MethodNA\'',cluster49
4677,OTHER,david-www,https://github.com/alanshaw/david-www/commit/6c4989558a6bc4ecf4ea3648f3066551052a2809,ce2b6b9ee4dfa7bb607beedee3a8e8e0627dd11f,6c4989558a6bc4ecf4ea3648f3066551052a2809,'\'ClassNA\'','\'MethodNA\'',cluster49
4931,OTHER,david-www,https://github.com/alanshaw/david-www/commit/95a08c9ec2843713a361c3e1cdcb27299c1b2e54,544b7d414ae0e6f97bcc9d3e501be733915b4f61,95a08c9ec2843713a361c3e1cdcb27299c1b2e54,'\'ClassNA\'','\'MethodNA\'',cluster49
6446,BUG_FIX,KiwiIRC,https://github.com/prawnsalad/KiwiIRC/commit/8089a8e3121a167c275cb0e2554680ca85cc245e,618cfd46a8512fd8bb367435dfb8601ceefeec02,8089a8e3121a167c275cb0e2554680ca85cc245e,'\'ClassNA\'','\'MethodNA\'',cluster49
7368,OTHER,david-www,https://github.com/alanshaw/david-www/commit/ddc3fc733bcdf1616ffb346500c181b0a013cb2b,e38ff9b8a72c0559bb5a460488c72fc4f9807f83,ddc3fc733bcdf1616ffb346500c181b0a013cb2b,'\'ClassNA\'','\'MethodNA\'',cluster49
7807,OTHER,tagspaces,https://github.com/tagspaces/tagspaces/commit/554e6868f7f3f1a92af5ca17bed9f3bfaf3725b7,ec860066ed8da0d8e8187fb8346949cc3cb3b239,554e6868f7f3f1a92af5ca17bed9f3bfaf3725b7,'\'ClassNA\'','\'MethodNA\'',cluster49
7869,OTHER,grunt-cli,https://github.com/gruntjs/grunt-cli/commit/0928d680883ba9f3bfbe665e6e638b12b6158445,4cb7ebf4fe07522e64c6fad85a74404ed6ed4671,0928d680883ba9f3bfbe665e6e638b12b6158445,'\'ClassNA\'','\'MethodNA\'',cluster49
15540,OTHER,Nodemailer,https://github.com/andris9/Nodemailer/commit/9f304409872e32b7abcabf6883e615827b9bb4c0,c7e71aad9df6b83caa02f1d9c7caa52910a00fa4,9f304409872e32b7abcabf6883e615827b9bb4c0,'\'ClassNA\'','\'MethodNA\'',cluster49
